Country,Confirmed,Deaths,Recovered,Active,New Cases,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Population,Cases / Million People,Confirmed last week,1 week change,1 week % increase
Kuwait,662747,2570,0,660177,0,0.39,0.0,0.0,4270563,155190.0,662747,0,0.0
Kyrgyzstan,206557,2991,0,203566,0,1.45,0.0,0.0,6524191,31660.0,206553,4,0.0
Laos,217526,758,0,216768,40,0.35,0.0,0.0,7275556,29898.0,217289,237,0.11
Latvia,971344,6133,0,965211,472,0.63,0.0,0.0,1886202,514973.0,968992,2352,0.24
Lebanon,1221791,10743,0,1211048,95,0.88,0.0,0.0,6825442,179005.0,1221273,518,0.04
Lesotho,34490,706,0,33784,0,2.05,0.0,0.0,2142252,16100.0,34490,0,0.0
Liberia,8043,294,0,7749,0,3.66,0.0,0.0,5057677,1590.0,8037,6,0.07
Libya,507121,6437,0,500684,0,1.27,0.0,0.0,6871287,73803.0,507112,9,0.0
Liechtenstein,21209,88,0,21121,16,0.41,0.0,0.0,38137,556127.0,21124,85,0.4
Lithuania,1283459,9458,0,1274001,0,0.74,0.0,0.0,2722291,471463.0,1280625,2834,0.22
Luxembourg,310717,1175,0,309542,401,0.38,0.0,0.0,625976,496372.0,309253,1464,0.47
MS Zaandam,9,2,0,7,0,22.22,0.0,0.0,0,151961.08673469388,9,0,0.0
Madagascar,67684,1415,0,66269,0,2.09,0.0,0.0,27691019,2444.0,67621,63,0.09
Malawi,88220,2685,0,85535,0,3.04,0.0,0.0,19129955,4612.0,88220,0,0.0
Malaysia,5019400,36814,0,4982586,816,0.73,0.0,0.0,64998698,77223.0,5012483,6917,0.14
Maldives,185666,311,0,185355,0,0.17,0.0,0.0,540542,343481.0,185651,15,0.01
Mali,32767,743,0,32024,0,2.27,0.0,0.0,20250834,1618.0,32764,3,0.01
Malta,116152,811,0,115341,25,0.7,0.0,0.0,441539,263062.0,116000,152,0.13
Marshall Islands,15547,17,0,15530,0,0.11,0.0,0.0,58413,266157.0,15547,0,0.0
Mauritania,63425,997,0,62428,0,1.57,0.0,0.0,4649660,13641.0,63425,0,0.0
Mauritius,287999,1038,0,286961,0,0.36,0.0,0.0,1271767,226456.0,284994,3005,1.05
Mexico,7196485,330834,0,6865651,5783,4.6,0.0,0.0,255584572,28157.0,7169653,26832,0.37
Micronesia,22203,58,0,22145,0,0.26,0.0,0.0,113815,195080.0,22203,0,0.0
Moldova,596193,11929,0,584264,448,2.0,0.0,0.0,8055380,74012.0,595745,448,0.08
Monaco,15866,65,0,15801,0,0.41,0.0,0.0,39244,404291.0,15784,82,0.52
Mongolia,1007232,2135,0,1005097,64,0.21,0.0,0.0,3278292,307243.0,1006851,381,0.04
Montenegro,284407,2790,0,281617,34,0.98,0.0,0.0,628062,452833.0,284176,231,0.08
Morocco,1270945,16294,0,1254651,105,1.28,0.0,0.0,36910558,34433.0,1270318,627,0.05
Mozambique,230918,2229,0,228689,102,0.97,0.0,0.0,31255435,7388.0,230816,102,0.04
Namibia,170181,4080,0,166101,235,2.4,0.0,0.0,2540916,66976.0,169946,235,0.14
Nauru,4621,1,0,4620,0,0.02,0.0,0.0,10834,426528.0,4621,0,0.0
Nepal,1000959,12019,0,988940,6,1.2,0.0,0.0,29136808,34354.0,1000941,18,0.0
Netherlands,8671287,23658,0,8647629,2985,0.27,0.0,0.0,34882427,248586.0,8665326,5961,0.07
New Zealand,2069064,2289,0,2066775,28,0.11,0.0,0.0,4841342,427374.0,2026277,42787,2.11
Nicaragua,15308,245,0,15063,0,1.6,0.0,0.0,6624554,2311.0,15263,45,0.29
Niger,9473,314,0,9159,39,3.31,0.0,0.0,24206636,391.0,9434,39,0.41
Nigeria,266381,3155,0,263226,0,1.18,0.0,0.0,399640130,667.0,266381,0,0.0
North Macedonia,345197,9599,0,335598,0,2.78,0.0,0.0,2083380,165691.0,345197,0,0.0
Norway,1472878,4571,0,1468307,267,0.31,0.0,0.0,5421242,271686.0,1471342,1536,0.1
Oman,399119,4628,0,394491,0,1.16,0.0,0.0,5106622,78157.0,399119,0,0.0
Pakistan,1575486,30635,0,1544851,0,1.94,0.0,0.0,428724125,3675.0,1575486,0,0.0
Palau,5955,9,0,5946,0,0.15,0.0,0.0,18008,330686.0,5933,22,0.37
Panama,1020961,8554,0,1012407,0,0.84,0.0,0.0,4314768,236620.0,1015970,4991,0.49
Papua New Guinea,46557,669,0,45888,0,1.44,0.0,0.0,8947027,5204.0,46457,100,0.22
Paraguay,781111,19655,0,761456,0,2.52,0.0,0.0,7132530,109514.0,778895,2216,0.28
Peru,4424906,217941,0,4206965,8083,4.93,0.0,0.0,65597846,67455.0,4376905,48001,1.1
Philippines,4057629,65127,0,3992502,500,1.61,0.0,0.0,109581085,37029.0,4050866,6763,0.17
Poland,6362604,118436,0,6244168,886,1.86,0.0,0.0,76257753,83436.0,6358786,3818,0.06
Portugal,5553251,25693,0,5527558,1887,0.46,0.0,0.0,10196707,544612.0,5549479,3772,0.07
Qatar,487042,685,0,486357,368,0.14,0.0,0.0,2881060,169050.0,485064,1978,0.41
Romania,3305048,67341,0,3237707,0,2.04,0.0,0.0,38837451,85100.0,3301662,3386,0.1
Russia,21420985,385189,0,21035796,5939,1.8,0.0,0.0,292579178,73214.0,21370489,50496,0.24
Rwanda,132920,1467,0,131453,109,1.1,0.0,0.0,12952209,10262.0,132811,109,0.08
Saint Kitts and Nevis,6560,46,0,6514,0,0.7,0.0,0.0,53109,123520.0,6559,1,0.02
Saint Lucia,29736,409,0,29327,0,1.38,0.0,0.0,183629,161935.0,29729,7,0.02
Saint Vincent and the Grenadines,9521,118,0,9403,21,1.24,0.0,0.0,110854,85888.0,9500,21,0.22
Samoa,15975,29,0,15946,5,0.18,0.0,0.0,196130,81451.0,15970,5,0.03
San Marino,22813,120,0,22693,0,0.53,0.0,0.0,33938,672196.0,22615,198,0.88
Sao Tome and Principe,6279,77,0,6202,0,1.23,0.0,0.0,219159,28650.0,6279,0,0.0
Saudi Arabia,826621,9499,0,817122,46,1.15,0.0,0.0,34813867,23744.0,826312,309,0.04
Senegal,88896,1968,0,86928,5,2.21,0.0,0.0,16743930,5309.0,88887,9,0.01
Serbia,2436376,17477,0,2418899,868,0.72,0.0,0.0,8737370,278845.0,2440825,-4449,-0.18
Seychelles,50355,172,0,50183,0,0.34,0.0,0.0,98340,512050.0,50068,287,0.57
Sierra Leone,7760,126,0,7634,0,1.62,0.0,0.0,7976985,973.0,7760,0,0.0
Singapore,2191597,1710,0,2189887,1540,0.08,0.0,0.0,5850343,374610.0,2183605,7992,0.37
Slovakia,2654985,20788,0,2634197,418,0.78,0.0,0.0,10823892,245289.0,2653246,1739,0.07
Slovenia,1291635,6976,0,1284659,2740,0.54,0.0,0.0,2078932,621297.0,1279297,12338,0.96
Solomon Islands,24575,153,0,24422,0,0.62,0.0,0.0,652858,37642.0,24575,0,0.0
Somalia,27300,1361,0,25939,0,4.99,0.0,0.0,15893219,1718.0,27300,0,0.0
South Africa,4046986,102568,0,3944418,383,2.53,0.0,0.0,59308690,68236.0,4045472,1514,0.04
South Sudan,18368,138,0,18230,0,0.75,0.0,0.0,11193729,1641.0,18352,16,0.09
Spain,13651239,116658,0,13534581,0,0.85,0.0,0.0,93691843,145704.0,13632635,18604,0.14
Sri Lanka,671821,16814,0,655007,4,2.5,0.0,0.0,21413250,31374.0,671770,51,0.01
Sudan,63677,4992,0,58685,0,7.84,0.0,0.0,43849269,1452.0,63663,14,0.02
Summer Olympics 2020,865,0,0,865,0,0.0,0.0,0.0,0,151961.08673469388,865,0,0.0
Suriname,81581,1393,0,80188,0,1.71,0.0,0.0,586634,139066.0,81581,0,0.0
Sweden,2651702,21364,0,2630338,0,0.81,0.0,0.0,20426859,129814.0,2640369,11333,0.43
Switzerland,4386815,14160,0,4372655,13804,0.32,0.0,0.0,8654618,506876.0,4373011,13804,0.32
Syria,57423,3163,0,54260,0,5.51,0.0,0.0,17500657,3281.0,57421,2,0.0
Taiwan*,8605539,14950,0,8590589,17125,0.17,0.0,0.0,23806638,361476.0,8498195,107344,1.26
Tajikistan,17786,125,0,17661,0,0.7,0.0,0.0,9537642,1865.0,17786,0,0.0
Tanzania,42111,845,0,41266,0,2.01,0.0,0.0,59734213,705.0,40806,1305,3.2
Thailand,4718908,33505,0,4685403,0,0.71,0.0,0.0,69799978,67606.0,4715489,3419,0.07
Timor-Leste,23385,138,0,23247,0,0.59,0.0,0.0,1318442,17737.0,23375,10,0.04
Togo,39339,290,0,39049,0,0.74,0.0,0.0,8278737,4752.0,39337,2,0.01
Tonga,16182,12,0,16170,0,0.07,0.0,0.0,105697,153098.0,16182,0,0.0
Trinidad and Tobago,185882,4277,0,181605,174,2.3,0.0,0.0,1399491,132821.0,185708,174,0.09
Tunisia,1147477,29279,0,1118198,195,2.55,0.0,0.0,11818618,97091.0,1147282,195,0.02
Turkey,16919638,101203,0,16818435,0,0.6,0.0,0.0,84339067,200614.0,16919638,0,0.0
Tuvalu,2805,0,0,2805,0,0.0,0.0,0.0,11792,237873.0,2805,0,0.0
US,100039809,1088409,0,98951400,78947,1.09,0.0,0.0,330541757,302654.0,99576829,462980,0.46
Uganda,169810,3630,0,166180,0,2.14,0.0,0.0,45741000,3712.0,169810,0,0.0
Ukraine,5657804,118614,0,5539190,55,2.1,0.0,0.0,89634808,63121.0,5653110,4694,0.08
United Arab Emirates,1046293,2348,0,1043945,67,0.22,0.0,0.0,9890400,105789.0,1045708,585,0.06
United Kingdom,24318154,213892,0,24104262,0,0.88,0.0,0.0,135034386,180089.0,24281515,36639,0.15
Uruguay,1002988,7552,0,995436,0,0.75,0.0,0.0,3473727,288735.0,998047,4941,0.5
Uzbekistan,248948,1637,0,247311,49,0.66,0.0,0.0,33469199,7438.0,248268,680,0.27
Vanuatu,11982,14,0,11968,1,0.12,0.0,0.0,292680,40939.0,11981,1,0.01
Venezuela,549273,5830,0,543443,66,1.06,0.0,0.0,28435943,19316.0,548570,703,0.13
Vietnam,11523367,43180,0,11480187,206,0.37,0.0,0.0,97338583,118384.0,11521388,1979,0.02
West Bank and Gaza,703228,5708,0,697520,0,0.81,0.0,0.0,4543126,154789.0,703228,0,0.0
Winter Olympics 2022,535,0,0,535,0,0.0,0.0,0.0,0,151961.08673469388,535,0,0.0
Yemen,11945,2159,0,9786,0,18.07,0.0,0.0,29825968,400.0,11945,0,0.0
Zambia,333746,4019,0,329727,0,1.2,0.0,0.0,18383956,18154.0,333746,0,0.0
Zimbabwe,259981,5637,0,254344,625,2.17,0.0,0.0,14862927,17492.0,259356,625,0.24
